x,y
0,10000
1,50000
2,210000
3,500000
4,940000
5,1530000
6,2280000
7,3190000
8,4280000
9,5530000
10,6970000
11,8580000
12,10380000
13,12360000
14,14540000
15,16910000
16,19470000
17,22230000
18,25180000
19,28340000
20,31700000
21,35270000
22,39050000
23,43030000
24,47230000
25,51630000
26,56250000
27,61090000
28,66150000
29,71420000
30,76910000
31,82630000
32,88560000
33,94720000
34,101110000
35,107720000
36,114560000
37,121630000
38,128930000
39,136460000
40,144230000
41,152220000
42,160460000
43,168920000
44,177630000
45,186570000
46,195750000
47,205170000
48,214830000
49,224730000
50,234880000
51,245270000
52,255900000
53,266780000
54,277900000
55,289270000
56,300890000
57,312750000
58,324870000
59,337240000
60,349850000
61,362720000
62,375850000
63,389220000
64,402850000
65,416730000
66,430870000
67,445270000
68,459920000
69,474830000
70,490000000
71,505430000
72,521120000
73,537060000
74,553270000
75,569740000
76,586480000
77,603470000
78,620730000
79,638260000
80,656050000
81,674100000
82,692420000
83,711010000
84,729870000
85,748990000
86,768380000
87,788040000
88,807970000
89,828170000
90,848640000
91,869390000
92,890400000
93,911690000
94,933250000
95,955080000
96,977190000
97,999580000
98,1022230000
99,1045170000
100,1068380000
101,1091870000
102,1115630000
103,1139670000
104,1163990000
105,1188590000
106,1213470000
107,1238630000
108,1264070000
109,1289790000
110,1315790000
111,1342070000
112,1368640000
113,1395480000
114,1422610000
115,1450030000
116,1477730000
117,1505710000
118,1533980000
119,1562530000
120,1591370000
121,1620490000
122,1649910000
123,1679600000
124,1709590000
125,1739870000
126,1770430000
127,1801280000
128,1832420000
129,1863850000
130,1895580000
131,1927590000
132,1959890000
133,1992480000
134,2025370000
135,2058550000
136,2092020000
137,2125780000
138,2159840000
139,2194190000
140,2228840000
141,2263780000
142,2299010000
143,2334540000
144,2370370000
145,2406490000
146,2442910000
147,2479630000
148,2516640000
149,2553950000
150,2591560000
151,2629460000
152,2667670000
153,2706180000
154,2744980000
155,2784080000
156,2823490000
157,2863190000
158,2903200000
159,2943510000
160,2984120000
161,3025030000
162,3066240000
163,3107760000
164,3149570000
165,3191700000
166,3234120000
167,3276850000
168,3319890000
169,3363230000
170,3406870000
171,3450820000
172,3495080000
173,3539640000
174,3584500000
175,3629680000
176,3675160000
177,3720950000
178,3767050000
179,3813450000
180,3860160000
181,3907190000
182,3954520000
183,4002160000
184,4050110000
185,4098370000
186,4146930000
187,4195810000
188,4245010000
189,4294510000
190,4344320000
191,4394450000
192,4444880000
193,4495630000
194,4546700000
195,4598070000
196,4649760000
197,4701760000
198,4754080000
199,4806710000
200,4859650000
201,4912910000
202,4966490000
203,5020380000
204,5074580000
205,5129110000
